case_id,label,parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
1,anchor,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
1,anchor,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
1,anchor,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
1,anchor,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
1,anchor,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
1,anchor,theta0,0.5284284711333161,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
1,anchor,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
1,anchor,hbar_child_rooms,0.2822101230841891,0.1,1.8,log,True,estimated_free_transition_parameter,False
1,anchor,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
1,anchor,hbar_first_child_jump,0.3649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
1,anchor,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
1,anchor,psi_child_2007,0.2866767097183461,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
1,anchor,psi_child_2023,-0.04203719717721749,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
1,anchor,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
1,anchor,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
2,coordinate_0_minus,beta_annual,0.9955876739236171,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
2,coordinate_0_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
2,coordinate_0_minus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
2,coordinate_0_minus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
2,coordinate_0_minus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
2,coordinate_0_minus,theta0,0.5284284711333161,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
2,coordinate_0_minus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
2,coordinate_0_minus,hbar_child_rooms,0.2822101230841891,0.1,1.8,log,True,estimated_free_transition_parameter,False
2,coordinate_0_minus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
2,coordinate_0_minus,hbar_first_child_jump,0.3649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
2,coordinate_0_minus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
2,coordinate_0_minus,psi_child_2007,0.28700246046418837,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
2,coordinate_0_minus,psi_child_2023,-0.0417114464313752,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
2,coordinate_0_minus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
2,coordinate_0_minus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
3,coordinate_0_plus,beta_annual,0.9958868687427079,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
3,coordinate_0_plus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
3,coordinate_0_plus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
3,coordinate_0_plus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
3,coordinate_0_plus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
3,coordinate_0_plus,theta0,0.5284284711333161,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
3,coordinate_0_plus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
3,coordinate_0_plus,hbar_child_rooms,0.2822101230841891,0.1,1.8,log,True,estimated_free_transition_parameter,False
3,coordinate_0_plus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
3,coordinate_0_plus,hbar_first_child_jump,0.3649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
3,coordinate_0_plus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
3,coordinate_0_plus,psi_child_2007,0.2863596145752226,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
3,coordinate_0_plus,psi_child_2023,-0.04235429232034099,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
3,coordinate_0_plus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
3,coordinate_0_plus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
4,coordinate_1_minus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
4,coordinate_1_minus,kappa_fert,2.0849912643656903,0.02,50.0,log,True,estimated_free_transition_parameter,False
4,coordinate_1_minus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
4,coordinate_1_minus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
4,coordinate_1_minus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
4,coordinate_1_minus,theta0,0.5284284711333161,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
4,coordinate_1_minus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
4,coordinate_1_minus,hbar_child_rooms,0.2822101230841891,0.1,1.8,log,True,estimated_free_transition_parameter,False
4,coordinate_1_minus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
4,coordinate_1_minus,hbar_first_child_jump,0.3649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
4,coordinate_1_minus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
4,coordinate_1_minus,psi_child_2007,0.28006376251242354,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
4,coordinate_1_minus,psi_child_2023,-0.048650144383140026,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
4,coordinate_1_minus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
4,coordinate_1_minus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
5,coordinate_1_plus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
5,coordinate_1_plus,kappa_fert,2.254673392865173,0.02,50.0,log,True,estimated_free_transition_parameter,False
5,coordinate_1_plus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
5,coordinate_1_plus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
5,coordinate_1_plus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
5,coordinate_1_plus,theta0,0.5284284711333161,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
5,coordinate_1_plus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
5,coordinate_1_plus,hbar_child_rooms,0.2822101230841891,0.1,1.8,log,True,estimated_free_transition_parameter,False
5,coordinate_1_plus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
5,coordinate_1_plus,hbar_first_child_jump,0.3649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
5,coordinate_1_plus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
5,coordinate_1_plus,psi_child_2007,0.2934851367103635,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
5,coordinate_1_plus,psi_child_2023,-0.03522877018520004,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
5,coordinate_1_plus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
5,coordinate_1_plus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
6,coordinate_2_minus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
6,coordinate_2_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
6,coordinate_2_minus,kappa_fert_continuation,1.669851109053586,0.02,50.0,log,True,estimated_free_transition_parameter,False
6,coordinate_2_minus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
6,coordinate_2_minus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
6,coordinate_2_minus,theta0,0.5284284711333161,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
6,coordinate_2_minus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
6,coordinate_2_minus,hbar_child_rooms,0.2822101230841891,0.1,1.8,log,True,estimated_free_transition_parameter,False
6,coordinate_2_minus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
6,coordinate_2_minus,hbar_first_child_jump,0.3649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
6,coordinate_2_minus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
6,coordinate_2_minus,psi_child_2007,0.2989066138900931,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
6,coordinate_2_minus,psi_child_2023,-0.02980729300547047,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
6,coordinate_2_minus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
6,coordinate_2_minus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
7,coordinate_2_plus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
7,coordinate_2_plus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
