f_c_y,K,lastcohort,rows
1972,-2,0,15
1972,-1,0,16
1972,0,0,19
1972,1,0,19
1972,2,0,23
1972,5,0,107
1972,6,0,108
1972,7,0,110
1972,8,0,113
1972,9,0,115
1972,10,0,116
1972,11,0,113
1972,12,0,115
1972,13,0,110
1972,14,0,112
1972,15,0,104
1972,16,0,102
1972,17,0,100
1972,18,0,134
1972,19,0,128
1972,20,0,134
1972,21,0,139
1972,22,0,154
1972,23,0,114
1972,24,0,73
1972,25,0,84
1972,27,0,86
1972,29,0,83
1972,31,0,81
1972,33,0,81
1972,35,0,74
1972,37,0,73
1972,39,0,68
1972,41,0,67
1972,43,0,65
1972,45,0,62
1972,47,0,54
1973,-3,0,14
1973,-2,0,17
1973,-1,0,19
1973,0,0,28
1973,1,0,32
1973,4,0,115
1973,5,0,117
1973,6,0,119
1973,7,0,114
1973,8,0,114
1973,9,0,117
1973,10,0,121
1973,11,0,122
1973,12,0,120
1973,13,0,120
1973,14,0,116
1973,15,0,115
1973,16,0,116
1973,17,0,148
1973,18,0,139
1973,19,0,138
1973,20,0,149
1973,21,0,160
1973,22,0,128
1973,23,0,81
1973,24,0,87
1973,26,0,85
1973,28,0,84
1973,30,0,83
1973,32,0,77
1973,34,0,76
1973,36,0,74
1973,38,0,69
1973,40,0,66
1973,42,0,60
1973,44,0,57
1973,46,0,55
1974,-4,0,6
1974,-3,0,8
1974,-2,0,10
1974,-1,0,13
1974,0,0,16
1974,3,0,127
1974,4,0,130
1974,5,0,133
1974,6,0,135
1974,7,0,134
1974,8,0,133
1974,9,0,141
1974,10,0,141
1974,11,0,135
1974,12,0,128
1974,13,0,121
1974,14,0,122
1974,15,0,123
1974,16,0,163
1974,17,0,159
1974,18,0,155
1974,19,0,161
1974,20,0,171
1974,21,0,131
1974,22,0,84
1974,23,0,87
1974,25,0,87
1974,27,0,78
1974,29,0,77
1974,31,0,78
1974,33,0,71
1974,35,0,67
1974,37,0,68
1974,39,0,63
1974,41,0,59
1974,43,0,62
1974,45,0,56
1975,-5,0,6
1975,-4,0,7
1975,-3,0,9
1975,-2,0,12
1975,-1,0,20
1975,2,0,118
1975,3,0,124
1975,4,0,124
1975,5,0,126
1975,6,0,131
1975,7,0,130
1975,8,0,138
1975,9,0,141
1975,10,0,136
1975,11,0,133
1975,12,0,130
1975,13,0,123
1975,14,0,124
1975,15,0,165
1975,16,0,162
1975,17,0,154
1975,18,0,163
1975,19,0,176
1975,20,0,132
1975,21,0,96
1975,22,0,99
1975,24,0,99
1975,26,0,103
1975,28,0,90
1975,30,0,92
1975,32,0,89
1975,34,0,86
1975,36,0,82
1975,38,0,75
1975,40,0,73
1975,42,0,74
1975,44,0,72
1976,-6,0,4
1976,-5,0,4
1976,-4,0,4
1976,-3,0,6
1976,-2,0,10
1976,1,0,99
1976,2,0,103
1976,3,0,105
1976,4,0,107
1976,5,0,114
1976,6,0,115
1976,7,0,118
1976,8,0,121
1976,9,0,120
1976,10,0,121
1976,11,0,121
1976,12,0,115
1976,13,0,117
1976,14,0,157
1976,15,0,156
1976,16,0,155
1976,17,0,161
1976,18,0,163
1976,19,0,120
1976,20,0,89
1976,21,0,93
1976,23,0,89
1976,25,0,92
1976,27,0,89
1976,29,0,90
1976,31,0,84
1976,33,0,85
1976,35,0,81
1976,37,0,76
1976,39,0,78
1976,41,0,71
1976,43,0,62
1977,-7,0,5
1977,-6,0,5
1977,-5,0,6
1977,-4,0,7
1977,-3,0,9
1977,0,0,95
1977,1,0,105
1977,2,0,115
1977,3,0,129
1977,4,0,128
1977,5,0,126
1977,6,0,126
1977,7,0,130
1977,8,0,129
1977,9,0,130
1977,10,0,132
1977,11,0,130
1977,12,0,128
1977,13,0,171
1977,14,0,166
1977,15,0,166
1977,16,0,172
1977,17,0,184
1977,18,0,141
1977,19,0,111
1977,20,0,117
1977,22,0,112
1977,24,0,111
1977,26,0,106
1977,28,0,99
1977,30,0,92
1977,32,0,93
1977,34,0,89
1977,36,0,78
1977,38,0,76
1977,40,0,76
1977,42,0,71
