cell_id,stage,task_id,proposal_index,case_id,case_directory,status,loss,started_solves,completed_solves,unfinished_solves,count_evidence,failure_type,failure_message,normalized_objective_seconds
A,smoke,1,1,A_smoke_beta0985,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/smoke/A/worker_01/proposal_01_smoke_beta0985,verified_scored,854.8076730435579,6,6,0,native heartbeat and per-solve records,,,529.2341831430094
B,smoke,1,1,B_smoke_beta0985,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/smoke/B/worker_01/proposal_01_smoke_beta0985,verified_scored,829.5783364764886,6,6,0,native heartbeat and per-solve records,,,488.47784979001153
C,smoke,1,1,C_smoke_beta0985,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/smoke/C/worker_01/proposal_01_smoke_beta0985,verified_scored,766.2896290303744,6,6,0,native heartbeat and per-solve records,,,1449.2563417979982
D,smoke,1,1,D_smoke_beta0985,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/smoke/D/worker_01/proposal_01_smoke_beta0985,verified_scored,793.8769684947787,6,6,0,native heartbeat and per-solve records,,,1455.4781383549562
A,production,1,1,A_worker01_proposal01,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_01/proposal_01_proposal_01,verified_scored,961.9677252048307,6,6,0,native heartbeat and per-solve records,,,498.9930305989692
A,production,1,2,A_worker01_proposal02,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_01/proposal_02_proposal_02,running_or_incomplete,,5,4,1,native heartbeat and per-solve records,,,
A,production,1,3,A_worker01_proposal03,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_01/proposal_03_proposal_03,not_started,,,,,,,,
A,production,1,4,A_worker01_proposal04,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_01/proposal_04_proposal_04,not_started,,,,,,,,
A,production,1,5,A_worker01_proposal05,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_01/proposal_05_proposal_05,not_started,,,,,,,,
A,production,1,6,A_worker01_proposal06,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_01/proposal_06_proposal_06,not_started,,,,,,,,
A,production,2,1,A_worker02_proposal01,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_02/proposal_01_proposal_01,verified_scored,1322.527938798636,6,6,0,native heartbeat and per-solve records,,,592.4252345470013
A,production,2,2,A_worker02_proposal02,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_02/proposal_02_proposal_02,running_or_incomplete,,6,6,0,native heartbeat and per-solve records,,,
A,production,2,3,A_worker02_proposal03,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_02/proposal_03_proposal_03,not_started,,,,,,,,
A,production,2,4,A_worker02_proposal04,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_02/proposal_04_proposal_04,not_started,,,,,,,,
A,production,2,5,A_worker02_proposal05,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_02/proposal_05_proposal_05,not_started,,,,,,,,
A,production,2,6,A_worker02_proposal06,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_02/proposal_06_proposal_06,not_started,,,,,,,,
A,production,3,1,A_worker03_proposal01,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_03/proposal_01_proposal_01,verified_scored,1127.6279053075516,6,6,0,native heartbeat and per-solve records,,,318.17506753699854
A,production,3,2,A_worker03_proposal02,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_03/proposal_02_proposal_02,verified_scored,939.8778155592506,4,4,0,native heartbeat and per-solve records,,,253.4289744810667
A,production,3,3,A_worker03_proposal03,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_03/proposal_03_proposal_03,running_or_incomplete,,6,5,1,native heartbeat and per-solve records,,,
A,production,3,4,A_worker03_proposal04,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_03/proposal_04_proposal_04,not_started,,,,,,,,
A,production,3,5,A_worker03_proposal05,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_03/proposal_05_proposal_05,not_started,,,,,,,,
A,production,3,6,A_worker03_proposal06,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_03/proposal_06_proposal_06,not_started,,,,,,,,
A,production,4,1,A_worker04_proposal01,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_04/proposal_01_proposal_01,verified_scored,840.9210501364769,4,4,0,native heartbeat and per-solve records,,,348.8411470609717
A,production,4,2,A_worker04_proposal02,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_04/proposal_02_proposal_02,verified_scored,898.6402753701177,6,6,0,native heartbeat and per-solve records,,,421.54713350202655
A,production,4,3,A_worker04_proposal03,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_04/proposal_03_proposal_03,running_or_incomplete,,3,2,1,native heartbeat and per-solve records,,,
A,production,4,4,A_worker04_proposal04,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_04/proposal_04_proposal_04,not_started,,,,,,,,
A,production,4,5,A_worker04_proposal05,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_04/proposal_05_proposal_05,not_started,,,,,,,,
A,production,4,6,A_worker04_proposal06,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_04/proposal_06_proposal_06,not_started,,,,,,,,
A,production,5,1,A_worker05_proposal01,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_05/proposal_01_proposal_01,verified_scored,665.4461845104298,6,6,0,native heartbeat and per-solve records,,,463.8423167860019
A,production,5,2,A_worker05_proposal02,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_05/proposal_02_proposal_02,running_or_incomplete,,6,5,1,native heartbeat and per-solve records,,,
A,production,5,3,A_worker05_proposal03,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_05/proposal_03_proposal_03,not_started,,,,,,,,
A,production,5,4,A_worker05_proposal04,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_05/proposal_04_proposal_04,not_started,,,,,,,,
A,production,5,5,A_worker05_proposal05,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_05/proposal_05_proposal_05,not_started,,,,,,,,
A,production,5,6,A_worker05_proposal06,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/earnings_entry_battery_20260922_v1/results/production/A/worker_05/proposal_06_proposal_06,not_started,,,,,,,,
