case_id,estimate,interpretation,lower,near_bound,parameter,status,structural_coordinate,transform,upper
coord_theta0,0.39785645171756406,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0
coord_theta0,1.0496534423047694,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
coord_theta0,8.11210048056786,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
coord_theta0,0.08186154367327791,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
coord_theta0,0.08520356663830632,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
coord_theta0,0.26576477618628114,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
coord_theta0,2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
coord_theta0,0.0,,,False,hbar_child_rooms,zero restriction,False,,
coord_theta0,0.148922853389873,,,False,psi_child,normalized to 2.1,False,,
coord_theta0,0.179,,,False,payroll_tax,externally fixed,False,,
coord_theta0,2.0463613896121218,,,False,pension_period,budget derived,False,,
coord_theta0,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
coord_theta0,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
coord_theta0,0.733,,,False,alpha_cons,externally fixed,False,,
coord_theta0,2.0,,,False,sigma,externally fixed,False,,
coord_theta1,0.99,structural coordinate,0.94,True,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.99
coord_theta1,0.33773423411167025,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0
coord_theta1,0.39785645171756406,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0
coord_theta1,1.0496534423047694,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
coord_theta1,8.11210048056786,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
