record_type,variant,age_cell_start,age_cell_midpoint,age_cell_interval,age_cell_population_mass_pre_fertility,pre_mass_n0,pre_mass_n1,pre_mass_n2,pre_mass_n3plus,post_mass_n0,post_mass_n1,post_mass_n2,post_mass_n3plus,pre_mean_children_topbin_3_602359422009,post_mean_children_topbin_3_602359422009,same_cell_stock_mean_change_topbin_adjusted,first_birth_flow,second_birth_flow,third_birth_entry_flow,explicit_birth_flow_sum_first_second_third,topcode_adjusted_birth_child_flow,first_birth_share_of_all_model_first_birth_flow,first_birth_flow_rate_per_age_cell_mass,third_birth_entry_share_of_age_cell_mass,third_birth_entry_share_of_pre_n0_n1_n2_risk_mass,same_cell_stock_change_identity_error,denominator_note
model_age_cell,uniform_birth_time,22.0,24.0,"[22,26)",0.06173345618077379,0.04901357011899901,0.012719886061774776,0.0,0.0,0.036056572636261885,0.021529363847171686,0.0041475196973401966,0.0,0.20604526052335695,0.48311572179787615,0.2770704612745192,0.012956997482737079,0.004147519697340194,0.0,0.017104517180077272,0.017104517180077272,0.24644511327902355,0.20988615062787289,0.0,0.0,6.106226635438361e-16,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,26.0,28.0,"[26,30)",0.06173345618076595,0.036056572636260616,0.0215293638471701,0.004147519697335233,0.0,0.02503320178279321,0.024748428622241882,0.011063738291161406,0.0008880874845695938,0.48311572179775086,0.8111503651365923,0.32803464333884147,0.011023370853467504,0.007804306078395767,0.0008880874845695934,0.019715764416432864,0.020250712280331633,0.2096670839304362,0.17856396734356197,0.014385837753342755,0.014385837753342755,1.2212453270876722e-15,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,30.0,32.0,"[30,34)",0.06173345618075804,0.025033201782792357,0.024748428622238673,0.011063738291159846,0.0008880874845671574,0.01738124335786922,0.02244431475225166,0.018319329401375317,0.0035885686692618867,0.8111503651364536,1.1664710218296392,0.3553206566931857,0.007651958424923191,0.009956072294910188,0.0027004811846947367,0.020308511904528113,0.021935172190087015,0.1455420334339846,0.1239515636791491,0.043744208598780206,0.044382690787504356,1.0547118733938987e-15,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,34.0,36.0,"[34,38)",0.06173345618075101,0.017381243357867376,0.022444314752250588,0.018319329401373926,0.0035885686692591133,0.012874236549387802,0.01742658312117543,0.022634601165724036,0.008798035344463731,1.1664710218295489,1.5289840681292042,0.3625130462996553,0.004507006808479551,0.009524738439554644,0.005209466675204622,0.019241211923238816,0.02237918325869022,0.08572432038710553,0.07300752440108596,0.08438644128317856,0.08959457827096165,1.8318679906315083e-15,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,38.0,40.0,"[38,42)",0.06173345618074147,0.012874236549384807,0.017426583121174045,0.022634601165722218,0.008798035344460404,0.010487103734286235,0.01313299038059351,0.02208723119609753,0.016026130869764253,1.5289840681291647,1.8634844608897982,0.3345003927606336,0.0023871328150985535,0.006680725555679067,0.007228095525303822,0.01629595389608144,0.02064986533892929,0.04540382274619101,0.03866838117907368,0.11708554765088168,0.13654553815032303,1.4988010832439613e-15,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,42.0,44.0,"[42,46)",0.06173345618074076,0.010487103734285496,0.013132990380593521,0.022087231196097547,0.016026130869764198,0.009157865168469463,0.01106310148346869,0.019324986095579016,0.022187503433223683,1.863484460889819,2.100002879129281,0.23651841823946196,0.001329238565816054,0.003399127462940871,0.006161372563459345,0.01088973859221627,0.014601099408323753,0.02528242745773724,0.021531899363035206,0.09980605241702852,0.13480054939858183,3.0531133177191805e-15,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,46.0,48.0,"[46,50)",0.06173345618074054,0.009157865168469425,0.011063101483468642,0.019324986095579005,0.02218750343322347,0.009157865168469425,0.011063101483468642,0.019324986095579005,0.02218750343322347,2.100002879129278,2.100002879129278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,50.0,52.0,"[50,54)",0.061733456180740734,0.009157865168469448,0.01106310148346874,0.01932498609557899,0.02218750343322355,0.009157865168469448,0.01106310148346874,0.01932498609557899,0.02218750343322355,2.1000028791292777,2.1000028791292777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,54.0,56.0,"[54,58)",0.061733456180740685,0.009157865168469462,0.011063101483468596,0.019324986095579057,0.022187503433223572,0.009157865168469462,0.011063101483468596,0.019324986095579057,0.022187503433223572,2.1000028791292804,2.1000028791292804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,58.0,60.0,"[58,62)",0.061733456180740665,0.009157865168469465,0.01106310148346868,0.019324986095579078,0.022187503433223444,0.009157865168469465,0.01106310148346868,0.019324986095579078,0.022187503433223444,2.1000028791292755,2.1000028791292755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,62.0,64.0,"[62,66)",0.061733456180740734,0.00915786516846946,0.011063101483468701,0.019324986095579064,0.022187503433223506,0.00915786516846946,0.011063101483468701,0.019324986095579064,0.022187503433223506,2.1000028791292764,2.1000028791292764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,66.0,68.0,"[66,70)",0.06173345618074065,0.009157865168469437,0.011063101483468677,0.019324986095579037,0.022187503433223496,0.009157865168469437,0.011063101483468677,0.019324986095579037,0.022187503433223496,2.1000028791292773,2.1000028791292773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,70.0,72.0,"[70,74)",0.057975512682535923,0.008600392089908456,0.010389649633177655,0.018148602812612373,0.020836868146837443,0.008600392089908456,0.010389649633177655,0.018148602812612373,0.020836868146837443,2.1000028791292795,2.1000028791292795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,74.0,76.0,"[74,78)",0.05325037124768647,0.007899439788848146,0.00954286860953894,0.016669448749687964,0.019138614099611425,0.007899439788848146,0.00954286860953894,0.016669448749687964,0.019138614099611425,2.100002879129275,2.100002879129275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,78.0,80.0,"[78,82)",0.04712403280205778,0.006990626562884886,0.008444982501435197,0.014751665223491642,0.016936758514246048,0.006990626562884886,0.008444982501435197,0.014751665223491642,0.016936758514246048,2.100002879129278,2.100002879129278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
model_age_cell,uniform_birth_time,82.0,84.0,"[82,86)",0.03911515291797219,0.005802547251171183,0.007009730752899673,0.012244572603438374,0.01405830231046296,0.005802547251171183,0.007009730752899673,0.012244572603438374,0.01405830231046296,2.1000028791292773,2.1000028791292773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"stationary model household reproductive-member mass; flows and masses are model-weighted, not CPS/NCHS counts"
