candidate,moment,target,model,gap,weight,loss_contribution,standardized_gap
task_006,tfr,1.918,1.9194605489063101,0.0014605489063101995,1425.7389910084596,0.003041390846422412,0.05514880639163836
task_006,childless_rate,0.188,0.191610820323174,0.003610820323174002,17180.743822072007,0.22400294008889818,0.47328948867357934
task_006,mean_age_first_birth,26.0446272574833,26.28993123754478,0.24530398006148246,44.44444444444444,2.6744018948446304,1.6353598670765497
task_006,share_first_births_age30plus,0.260327401666964,0.23930409295467298,-0.021023308712291022,10000.0,4.419795092122916,-2.1023308712291024
task_006,housing_increment_0to1,0.7202462623815278,0.4658771102441088,-0.25436915213741895,137.5652749002964,8.900977539695724,-2.9834506095619755
task_006,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.38123860199964366,0.013539043189643662,2958.514988007638,0.5423126327048204,0.7364187889406546
task_006,own_family_gap,0.16766167,0.1697620380871679,0.0021003680871678754,14229.590955975675,0.06277449650910091,0.25054839155161407
task_006,own_rate,0.575472,0.5466957599196748,-0.0287762400803252,1207.8460856134493,1.0001835155450542,-1.000091753563169
task_006,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.328572978371435,0.5486024964294671,11.973159013172177,3.603498199539844,1.8982882287839862
task_006,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.031870126510407,0.15877012651040712,6.287669427540395,0.15849927586250906,0.3981196753019236
task_006,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008483441532061237,-0.0003165584679387639,5165289.256198346,0.5176098327672386,-0.7194510634971906
task_006,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.3037468440396367,-0.14436391040588337,56.95977216091135,1.1870951158520708,-1.0895389464594971
