case_id,label,candidate,moment,target,model,gap,weight,loss_contribution,standardized_gap
1,anchor,task_001,tfr,1.918,1.9216975578798428,0.0036975578798428277,1425.7389910084596,0.019492609778069915,0.13961593669087322
1,anchor,task_001,childless_rate,0.188,0.18985895060790128,0.001858950607901283,17180.743822072007,0.05937145111372481,0.24366257635042116
1,anchor,task_001,mean_age_first_birth,26.0446272574833,26.251702786396663,0.20707552891336434,44.44444444444444,1.9057899855444262,1.3805035260890957
1,anchor,task_001,share_first_births_age30plus,0.260327401666964,0.23716275185854563,-0.02316464980841837,10000.0,5.366010007466572,-2.316464980841837
1,anchor,task_001,housing_increment_0to1,0.7202462623815278,0.46604419298872113,-0.25420206939280665,137.5652749002964,8.889288140176017,-2.9814909257242452
1,anchor,task_001,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.37919818852699816,0.011498629716998165,2958.514988007638,0.3911703706547702,0.6254361443463036
1,anchor,task_001,own_family_gap,0.16766167,0.1695784661356256,0.0019167961356255925,14229.590955975675,0.05228104579387803,0.22865048828698797
1,anchor,task_001,own_rate,0.575472,0.5466182046608248,-0.028853795339175203,1207.8460856134493,1.0055819984987173,-1.0027871152436678
1,anchor,task_001,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.3285941535538965,0.5486236716119288,11.973159013172177,3.603776383489034,1.8983614996857248
1,anchor,task_001,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.0311956981510075,0.15809569815100755,6.287669427540395,0.15715558016737333,0.3964285309704302
1,anchor,task_001,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008484568648442574,-0.00031543135155742696,5165289.256198346,0.5139304625276088,-0.7168894353577885
1,anchor,task_001,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.303594814389452,-0.14451594005606827,56.95977216091135,1.1895966923624985,-1.0906863400457982
2,coordinate_0_minus,task_002,tfr,1.918,1.9218521134967719,0.0038521134967719473,1425.7389910084596,0.021156224932426176,0.14545179590650015
2,coordinate_0_minus,task_002,childless_rate,0.188,0.18987941661527058,0.0018794166152705793,17180.743822072007,0.06068594039370394,0.2463451651518737
2,coordinate_0_minus,task_002,mean_age_first_birth,26.0446272574833,26.252718754348887,0.20809149686558825,44.44444444444444,1.9245364919004946,1.3872766457705883
2,coordinate_0_minus,task_002,share_first_births_age30plus,0.260327401666964,0.2372346208900253,-0.023092780776938687,10000.0,5.33276524011749,-2.3092780776938686
2,coordinate_0_minus,task_002,housing_increment_0to1,0.7202462623815278,0.4652824092979406,-0.25496385308358716,137.5652749002964,8.942646174283004,-2.9904257513409362
2,coordinate_0_minus,task_002,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.379181524022127,0.011481965212127021,2958.514988007638,0.39003737705634445,0.6245297247180028
2,coordinate_0_minus,task_002,own_family_gap,0.16766167,0.1694258346876894,0.0017641646876893902,14229.590955975675,0.044286429296152174,0.21044341114929727
2,coordinate_0_minus,task_002,own_rate,0.575472,0.5462517899995138,-0.029220210000486135,1207.8460856134493,1.0312839570617642,-1.0155215197433112
2,coordinate_0_minus,task_002,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.328205545185151,0.5482350632431832,11.973159013172177,3.5986728426146124,1.8970168271827776
2,coordinate_0_minus,task_002,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.020861117879601,0.14776111787960122,6.287669427540395,0.13728087445026535,0.3705143377121395
2,coordinate_0_minus,task_002,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008486372869635373,-0.00031362713036462743,5165289.256198346,0.508068062503879,-0.7127889326468804
2,coordinate_0_minus,task_002,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.267547843984865,-0.18056291046065498,56.95977216091135,1.8570574373241724,-1.3627389468728677
3,coordinate_0_plus,task_003,tfr,1.918,1.921561094355758,0.003561094355758021,1425.7389910084596,0.018080356475531165,0.13446321606867495
3,coordinate_0_plus,task_003,childless_rate,0.188,0.18983347048461638,0.0018334704846163785,17180.743822072007,0.05775502927124692,0.2403227606183961
3,coordinate_0_plus,task_003,mean_age_first_birth,26.0446272574833,26.25067305228488,0.20604579480158236,44.44444444444444,1.8868830913518124,1.373638632010549
3,coordinate_0_plus,task_003,share_first_births_age30plus,0.260327401666964,0.23709032148339312,-0.023237080183570874,10000.0,5.399618954577022,-2.3237080183570873
