parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
beta_annual,0.9975515139618574,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
tenure_choice_kappa,0.5000000000000004,0.005,10.0,log,True,estimated_free_transition_parameter,False
joint_nest_lambda,0.05000000000000001,0.02,1.0,log,True,estimated_free_transition_parameter,False
chi,1.2858424214509712,0.1,5.0,log,True,estimated_free_transition_parameter,False
H0,7.239470589714509,0.2,80.0,log,True,estimated_free_transition_parameter,False
theta0,0.45592991134362554,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
theta1,0.14642155526775097,0.02,16.0,log,True,estimated_free_transition_parameter,True
hbar_child_rooms,0.2610491513571319,0.1,1.8,log,True,estimated_free_transition_parameter,False
first_birth_fixed_cost,3.9973303083949827,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
hbar_first_child_jump,0.2949412349084009,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
psi_child_change_2023,-0.0051700942941845796,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
psi_child_2007,0.4481860516682217,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
psi_child_2023,0.4430159573740371,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
