diagnostic,name,value,notes,age,z,stationary_mass,transition_row,mass_share,mean_liquid_wealth,mean_income,own_rate,fertility_choice,wealth_bin,expected_completed_fertility_choice,mass
state_size,Nb,30,,,,,,,,,,,,,
state_size,tenure_states,7,,,,,,,,,,,,,
state_size,locations,2,,,,,,,,,,,,,
state_size,ages,60,,,,,,,,,,,,,
state_size,fertility_states,4,,,,,,,,,,,,,
state_size,child_age_states,7,,,,,,,,,,,,,
state_size,z_states,7,,,,,,,,,,,,,
state_size,mu_states,0,,,,,,,,,,,,,
z_process,,,,,-0.8573214099741122,0.01562500000002132,"[0.8590683010253906, 0.1321643540039064, 0.008472073974609392, 0.0002896435546875008, 5.57006835937502e-06, 5.712890625000026e-08, 2.441406250000014e-10]",,,,,,,,
z_process,,,,,-0.5715476066494081,0.09375000000004256,"[0.022027392333984392, 0.8618923256835935, 0.11028178344726572, 0.00565176269531251, 0.0001448693847656254, 1.8569335937500063e-06, 9.521484375000043e-09]",,,,,,,,
z_process,,,,,-0.28577380332470403,0.23437499999997863,"[0.0005648049316406259, 0.04411271337890628, 0.8635889685058593, 0.08828339355468756, 0.0033918005371093808, 5.794775390625015e-05, 3.7133789062500127e-07]",,,,,,,,
z_process,,,,,0.0,0.3124999999999147,"[1.4482177734375036e-05, 0.0016955288085937527, 0.06621254516601567, 0.8641548876953123, 0.06621254516601568, 0.0016955288085937527, 1.4482177734375036e-05]",,,,,,,,
z_process,,,,,0.28577380332470415,0.2343749999999788,"[3.7133789062500127e-07, 5.794775390625014e-05, 0.0033918005371093808, 0.08828339355468756, 0.8635889685058593, 0.04411271337890628, 0.0005648049316406259]",,,,,,,,
z_process,,,,,0.5715476066494083,0.09375000000004263,"[9.521484375000043e-09, 1.8569335937500065e-06, 0.0001448693847656254, 0.005651762695312509, 0.11028178344726572, 0.8618923256835935, 0.022027392333984392]",,,,,,,,
z_process,,,,,0.8573214099741122,0.015625000000021323,"[2.4414062500000133e-10, 5.712890625000025e-08, 5.570068359375019e-06, 0.00028964355468750076, 0.00847207397460939, 0.13216435400390636, 0.8590683010253904]",,,,,,,,
z_by_age,,,,18.0,-0.8573214099741122,,,0.015625000000021323,0.3188336912940299,0.19681656476750883,0.0,,,,
z_by_age,,,,18.0,-0.5715476066494081,,,0.09375000000004258,0.31883369129402983,0.26192179189108067,0.0,,,,
z_by_age,,,,18.0,-0.28577380332470403,,,0.2343749999999787,0.3188336912940298,0.34856326828218154,0.0,,,,
z_by_age,,,,18.0,0.0,,,0.31249999999991473,0.31883369129402983,0.4638649999999999,0.0,,,,
z_by_age,,,,18.0,0.28577380332470415,,,0.23437499999997882,0.3188336912940299,0.6173075530460287,0.0,,,,
z_by_age,,,,18.0,0.5715476066494083,,,0.09375000000004265,0.3188336912940299,0.8215075831280125,0.0,,,,
z_by_age,,,,18.0,0.8573214099741122,,,0.015625000000021327,0.31883369129402983,1.0932552271663314,0.0,,,,
z_by_age,,,,19.0,-0.8573214099741122,,,0.015624999999921016,0.32706635266963,0.19681656476750886,0.0,,,,
