candidate,moment,target,model,gap,weight,loss_contribution,standardized_gap
task_001,tfr,1.918,1.9242129336315914,0.006212933631591477,1425.7389910084596,0.05503430109771581,0.23459390677874778
task_001,childless_rate,0.188,0.1890138017602838,0.001013801760283789,17180.743822072007,0.017658265573143952,0.13288440680961763
task_001,mean_age_first_birth,26.0446272574833,26.337009319693813,0.292382062210514,44.44444444444444,3.7994342356654607,1.9492137480700933
task_001,share_first_births_age30plus,0.260327401666964,0.2424217524964679,-0.017905649170496085,10000.0,3.206122722168871,-1.7905649170496085
task_001,housing_increment_0to1,0.7202462623815278,0.5176668631724963,-0.20257939920903145,137.5652749002964,5.645460563601014,-2.3760177953039436
task_001,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.3675711607675547,-0.00012839804244529907,2958.514988007638,4.877424762640018e-05,-0.006983856214613828
task_001,own_family_gap,0.16766167,0.1764569231850875,0.008795253185087476,14229.590955975675,1.1007510481274216,1.0491668352208916
task_001,own_rate,0.575472,0.5391405457907742,-0.03633145420922579,1207.8460856134493,1.594326111392713,-1.262666270790787
task_001,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.351764619633742,0.5717941376917741,11.973159013172177,3.9146068094387223,1.978536532247692
task_001,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.030766901728732,0.15766690172873243,6.287669427540395,0.15630424310002333,0.395353314264625
task_001,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008494329202637233,-0.00030567079736276703,5165289.256198346,0.48261692334912065,-0.6947063576426522
task_001,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.3025581046834693,-0.14555264976205073,56.95977216091135,1.2067254597510404,-1.0985105642418922
