estimate,interpretation,lower,near_bound,parameter,status,structural_coordinate,transform,upper,actual_lower,actual_upper,near_actual_bound,restriction_type
0.9787133267133993,structural coordinate,0.94,False,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.9995,0.94,0.99,False,searched
0.28303844150317253,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
0.39253568743510703,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True,searched
0.9886087964902056,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0,0.1,5.0,False,searched
7.921782567551065,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0,0.2,80.0,False,searched
0.03682414331920435,structural coordinate,0.0,True,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,True,searched
0.09101228314076258,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0,0.02,16.0,True,searched
0.35073919671308235,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,False,searched
0.006051867235065828,structural coordinate,0.0,False,delta_alpha_jump,diagnostic candidate; not a certified estimate,True,softzero,0.25,0.0,0.25,False,searched
0.014132339073506951,structural coordinate,0.0,False,delta_alpha,diagnostic candidate; not a certified estimate,True,softzero,0.25,0.0,0.25,False,searched
0.0,,,False,hbar_first_child_jump,zero restriction,False,,,,,,externally_fixed_or_derived
0.0,,,False,hbar_child_rooms,zero restriction,False,,,,,,externally_fixed_or_derived
0.0612465213643787,,,False,psi_child,normalized to 2.1,False,,,,,,externally_fixed_or_derived
0.179,,,False,payroll_tax,externally fixed,False,,,,,,externally_fixed_or_derived
2.0463613896121218,,,False,pension_period,budget derived,False,,,,,,externally_fixed_or_derived
0.63,,,False,housing_supply_elasticity,externally fixed,False,,,,,,externally_fixed_or_derived
0.005,,,False,tenure_choice_kappa,externally fixed,False,,,,,,externally_fixed_or_derived
0.733,,,False,alpha_cons,externally fixed,False,,,,,,externally_fixed_or_derived
2.0,,,False,sigma,externally fixed,False,,,,,,externally_fixed_or_derived
