stage,case_id,label,parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
round1,1,anchor,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
round1,1,anchor,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
round1,1,anchor,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,1,anchor,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
round1,1,anchor,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
round1,1,anchor,psi_child_2007,0.28947879008266236,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
round1,1,anchor,psi_child_2023,-0.039235116812901205,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
round1,1,anchor,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,1,anchor,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,2,coordinate_0_minus,beta_annual,0.9956635882533899,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,2,coordinate_0_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,2,coordinate_0_minus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,2,coordinate_0_minus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,2,coordinate_0_minus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
round1,2,coordinate_0_minus,theta0,0.5491891806761955,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,2,coordinate_0_minus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
round1,2,coordinate_0_minus,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
round1,2,coordinate_0_minus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,2,coordinate_0_minus,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
round1,2,coordinate_0_minus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
round1,2,coordinate_0_minus,psi_child_2007,0.289642090713257,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
round1,2,coordinate_0_minus,psi_child_2023,-0.03907181618230654,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
round1,2,coordinate_0_minus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,2,coordinate_0_minus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,3,coordinate_0_plus,beta_annual,0.9958131856629352,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,3,coordinate_0_plus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,3,coordinate_0_plus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,3,coordinate_0_plus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,3,coordinate_0_plus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
round1,3,coordinate_0_plus,theta0,0.5491891806761955,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,3,coordinate_0_plus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
round1,3,coordinate_0_plus,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
round1,3,coordinate_0_plus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,3,coordinate_0_plus,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
round1,3,coordinate_0_plus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
round1,3,coordinate_0_plus,psi_child_2007,0.28932187745762117,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
round1,3,coordinate_0_plus,psi_child_2023,-0.0393920294379424,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
round1,3,coordinate_0_plus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,3,coordinate_0_plus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,4,coordinate_1_minus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,4,coordinate_1_minus,kappa_fert,2.126175403503945,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,4,coordinate_1_minus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,4,coordinate_1_minus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,4,coordinate_1_minus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
round1,4,coordinate_1_minus,theta0,0.5491891806761955,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,4,coordinate_1_minus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
round1,4,coordinate_1_minus,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
round1,4,coordinate_1_minus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,4,coordinate_1_minus,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
round1,4,coordinate_1_minus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
round1,4,coordinate_1_minus,psi_child_2007,0.2861651300653869,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
round1,4,coordinate_1_minus,psi_child_2023,-0.04254877683017666,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
round1,4,coordinate_1_minus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,4,coordinate_1_minus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,5,coordinate_1_plus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,5,coordinate_1_plus,kappa_fert,2.211000240325617,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,5,coordinate_1_plus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,5,coordinate_1_plus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,5,coordinate_1_plus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
round1,5,coordinate_1_plus,theta0,0.5491891806761955,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,5,coordinate_1_plus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
round1,5,coordinate_1_plus,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
round1,5,coordinate_1_plus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,5,coordinate_1_plus,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
round1,5,coordinate_1_plus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
round1,5,coordinate_1_plus,psi_child_2007,0.29284377042365817,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
round1,5,coordinate_1_plus,psi_child_2023,-0.0358701364719054,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
round1,5,coordinate_1_plus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,5,coordinate_1_plus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,6,coordinate_2_minus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,6,coordinate_2_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,6,coordinate_2_minus,kappa_fert_continuation,1.7028351227474532,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,6,coordinate_2_minus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,6,coordinate_2_minus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
round1,6,coordinate_2_minus,theta0,0.5491891806761955,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,6,coordinate_2_minus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
round1,6,coordinate_2_minus,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
round1,6,coordinate_2_minus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,6,coordinate_2_minus,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
round1,6,coordinate_2_minus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
round1,6,coordinate_2_minus,psi_child_2007,0.29567623541834964,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
round1,6,coordinate_2_minus,psi_child_2023,-0.033037671477213926,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
round1,6,coordinate_2_minus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,6,coordinate_2_minus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,7,coordinate_2_plus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,7,coordinate_2_plus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,7,coordinate_2_plus,kappa_fert_continuation,1.7707705862013259,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,7,coordinate_2_plus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,7,coordinate_2_plus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
round1,7,coordinate_2_plus,theta0,0.5491891806761955,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,7,coordinate_2_plus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
round1,7,coordinate_2_plus,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
round1,7,coordinate_2_plus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,7,coordinate_2_plus,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
round1,7,coordinate_2_plus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
round1,7,coordinate_2_plus,psi_child_2007,0.2830855424745347,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
round1,7,coordinate_2_plus,psi_child_2023,-0.045628364421028855,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
round1,7,coordinate_2_plus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,7,coordinate_2_plus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,8,coordinate_3_minus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,8,coordinate_3_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,8,coordinate_3_minus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,8,coordinate_3_minus,chi,1.0333162652539012,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,8,coordinate_3_minus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
round1,8,coordinate_3_minus,theta0,0.5491891806761955,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,8,coordinate_3_minus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
round1,8,coordinate_3_minus,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
round1,8,coordinate_3_minus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,8,coordinate_3_minus,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
round1,8,coordinate_3_minus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
round1,8,coordinate_3_minus,psi_child_2007,0.28957980617159745,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
round1,8,coordinate_3_minus,psi_child_2023,-0.039134100723966114,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
round1,8,coordinate_3_minus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,8,coordinate_3_minus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,9,coordinate_3_plus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,9,coordinate_3_plus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,9,coordinate_3_plus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,9,coordinate_3_plus,chi,1.0537270178404272,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,9,coordinate_3_plus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
round1,9,coordinate_3_plus,theta0,0.5491891806761955,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,9,coordinate_3_plus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
round1,9,coordinate_3_plus,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
round1,9,coordinate_3_plus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,9,coordinate_3_plus,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
round1,9,coordinate_3_plus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
round1,9,coordinate_3_plus,psi_child_2007,0.2893737480606846,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
round1,9,coordinate_3_plus,psi_child_2023,-0.03934015883487896,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
round1,9,coordinate_3_plus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,9,coordinate_3_plus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,10,coordinate_4_minus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,10,coordinate_4_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,10,coordinate_4_minus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,10,coordinate_4_minus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,10,coordinate_4_minus,H0,14.346451056684039,0.2,80.0,log,True,estimated_free_transition_parameter,False
round1,10,coordinate_4_minus,theta0,0.5491891806761955,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,10,coordinate_4_minus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
round1,10,coordinate_4_minus,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
round1,10,coordinate_4_minus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,10,coordinate_4_minus,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
round1,10,coordinate_4_minus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
round1,10,coordinate_4_minus,psi_child_2007,0.2900150002319295,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
round1,10,coordinate_4_minus,psi_child_2023,-0.03869890666363407,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
round1,10,coordinate_4_minus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,10,coordinate_4_minus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,11,coordinate_4_plus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,11,coordinate_4_plus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,11,coordinate_4_plus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,11,coordinate_4_plus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,11,coordinate_4_plus,H0,14.78273463736427,0.2,80.0,log,True,estimated_free_transition_parameter,False
round1,11,coordinate_4_plus,theta0,0.5491891806761955,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,11,coordinate_4_plus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
round1,11,coordinate_4_plus,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
round1,11,coordinate_4_plus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,11,coordinate_4_plus,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
round1,11,coordinate_4_plus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
round1,11,coordinate_4_plus,psi_child_2007,0.2889467740266749,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
round1,11,coordinate_4_plus,psi_child_2023,-0.039767132868888666,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
round1,11,coordinate_4_plus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,11,coordinate_4_plus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,12,coordinate_5_minus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,12,coordinate_5_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,12,coordinate_5_minus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,12,coordinate_5_minus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,12,coordinate_5_minus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
round1,12,coordinate_5_minus,theta0,0.5387588259047558,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,12,coordinate_5_minus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
round1,12,coordinate_5_minus,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
round1,12,coordinate_5_minus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,12,coordinate_5_minus,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
round1,12,coordinate_5_minus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
round1,12,coordinate_5_minus,psi_child_2007,0.2894600542218598,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
round1,12,coordinate_5_minus,psi_child_2023,-0.03925385267370379,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
round1,12,coordinate_5_minus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,12,coordinate_5_minus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,13,coordinate_5_plus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,13,coordinate_5_plus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,13,coordinate_5_plus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,13,coordinate_5_plus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,13,coordinate_5_plus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
round1,13,coordinate_5_plus,theta0,0.5597195354476353,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,13,coordinate_5_plus,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
round1,13,coordinate_5_plus,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
round1,13,coordinate_5_plus,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
round1,13,coordinate_5_plus,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
round1,13,coordinate_5_plus,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
round1,13,coordinate_5_plus,psi_child_2007,0.2894981164209195,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
round1,13,coordinate_5_plus,psi_child_2023,-0.039215790474644074,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
round1,13,coordinate_5_plus,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,13,coordinate_5_plus,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,14,coordinate_6_minus,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,14,coordinate_6_minus,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,14,coordinate_6_minus,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,14,coordinate_6_minus,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,14,coordinate_6_minus,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
